2026-08-18 11:46:01,923-process_name-INFO : 进程6，从redis中取出172个数据,有82个字典参数
2026-08-18 11:46:02,986-process_name-INFO : {'商品货号': 'DZ5485-003', '商品尺寸': 15, '商品价格': 723.0}提取完成
2026-08-18 11:46:02,986-process_name-INFO : {'商品货号': 'IQ0407-100', '商品尺寸': 14, '商品价格': 1173.0}提取完成
2026-08-18 11:46:02,986-process_name-INFO : 货号DZ5485-003解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:02,986-process_name-INFO : {'商品货号': 'IQ0407-100', '商品尺寸': 15, '商品价格': 1166.0}提取完成
2026-08-18 11:46:02,989-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 6, '商品价格': 730.0}提取完成
2026-08-18 11:46:02,999-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 6.5, '商品价格': 893.0}提取完成
2026-08-18 11:46:02,999-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 7, '商品价格': 593.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 3.5, '商品价格': 2304.53}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 8, '商品价格': 573.0}提取完成

2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 8.5, '商品价格': 573.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 4.5, '商品价格': 2304.53}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 9.5, '商品价格': 532.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 10, '商品价格': 614.0}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': 'IX1872-001', '商品尺寸': 5, '商品价格': 2304.53}提取完成
2026-08-18 11:46:03,000-process_name-INFO : {'商品货号': '394055-004', '商品尺寸': 10.5, '商品价格': 607.0}提取完成
